,0,COOL,LIGHTING,DISCOMFORT,T_m,T_a
85,0.473487889907,0.0,0.0,0.0,20.1223829746,7.2
86,0.481024148642,0.0,0.0,0.0,20.1548865294,7.2
87,0.47511371533,0.0,0.40131,0.0,20.0670577826,6.9
88,0.98133782392,0.0,0.40131,0.0,19.9054558275,6.5
89,0.979940438678,0.0,0.40131,0.0,19.9505452107,6.5
90,0.478220191732,0.0,0.40131,0.0,20.0186718169,6.4
91,0.965436789693,0.0,0.0,0.0,19.9863854079,6.7
92,0.48613973841,0.0,0.0,0.0,19.9554410464,7.0
93,0.476133221914,0.0,0.0,0.0,20.1608015069,7.1
94,0.484435409646,0.0,0.0,0.0,20.1307668757,6.9
95,0.475406796912,0.0,0.0,0.0,20.0958167089,6.9
96,0.484307069386,0.0,0.0,0.0,20.0638492916,6.8
97,0.475419235475,0.0,0.0,0.0,20.0310827052,7.0
98,0.48356979404,0.0,0.0,0.0,20.0028666651,7.0
99,0.972162574576,0.0,0.0,0.0,19.9747065596,6.8
100,0.492138730346,0.0,0.0,0.0,19.9314450786,6.3
101,0.484319566381,0.0,0.0,0.0,20.1281624551,6.3
102,0.477302202995,0.0,0.0,0.0,20.0842187478,6.4
103,0.493995655228,0.0,0.40131,0.0,20.0029690452,6.2
104,0.970064832013,0.0,0.0,0.0,19.9812591825,6.2
105,0.0,0.0,0.0,0.0,20.4552894687,7.0
106,0.0,0.0,0.0,0.0,20.7354886426,7.4
107,0.0,0.0,0.0,0.0,20.5936605429,7.4
108,0.0,0.0,0.0,0.0,20.7046458477,7.4
109,0.0,0.0,0.0,0.0,20.5436038192,7.1
110,0.0,0.0,0.0,0.0,20.2745292543,6.8
111,0.486012771322,0.0,0.40131,0.0,19.9559489147,6.5
112,0.477494469774,0.0,0.40131,0.0,20.0194172386,6.3
113,0.992704956836,0.0,0.40131,0.0,20.049556665,6.1
114,0.968460086958,0.0,0.40131,0.0,20.1092365305,6.1
115,0.482986991421,0.0,0.0,0.0,20.0604370219,6.0
116,0.477647381224,0.0,0.0,0.0,20.0068997898,5.9
117,0.976373361513,0.0,0.0,0.0,19.9588663609,5.8
118,0.480632364835,0.0,0.0,0.0,20.1380465202,5.7
119,0.478108035205,0.0,0.0,0.0,20.0684065228,5.1
120,0.956955995827,0.0,0.0,0.0,19.9828613653,4.3
121,0.481429538557,0.0,0.0,0.0,20.1272335766,4.1
122,0.482785527067,0.0,0.0,0.0,20.0441268771,4.3
123,0.965181265852,0.0,0.0,0.0,19.9716102258,4.8
124,0.480869464307,0.0,0.0,0.0,20.1332047448,4.9
125,0.479306366731,0.0,0.0,0.0,20.0642371617,5.1
126,0.954024879065,0.0,0.0,0.0,19.9947216052,5.1
127,0.484137072207,0.0,0.40131,0.0,20.1108231905,5.1
128,0.978092041839,0.0,0.40131,0.0,19.9682398677,5.0
129,0.485619276747,0.0,0.0,0.0,20.1114245023,5.0
130,0.478519400816,0.0,0.0,0.0,20.0917318847,5.0
131,0.488721276212,0.0,0.0,0.0,20.0350884219,5.2
132,0.976965936647,0.0,0.0,0.0,19.9397435971,5.2
133,0.477852984015,0.0,0.0,0.0,20.0307264188,4.9
134,0.985955617602,0.0,0.0,0.0,19.9138795759,4.7
135,0.96373364302,0.0,0.40131,0.0,19.9902423303,4.6
136,0.954004086262,0.0,0.40131,0.0,19.992519056,4.7
137,0.970988745417,0.0,0.40131,0.0,19.947646576,4.7
138,0.978669425391,0.0,0.40131,0.0,19.9411587409,4.1
139,0.491201171349,0.0,0.0,0.0,20.0920605241,3.9
140,0.492741616375,0.0,0.0,0.0,20.0044833389,3.8
141,0.970799651059,0.0,0.0,0.0,20.1424252603,3.5
142,0.481777405847,0.0,0.0,0.0,20.0366272557,3.2
143,0.983866950337,0.0,0.0,0.0,19.9168691029,2.3
144,0.479026033372,0.0,0.0,0.0,20.0421975084,2.8
145,0.974591714183,0.0,0.0,0.0,19.9429103057,3.4
146,0.493442324543,0.0,0.0,0.0,20.0807124681,3.2
147,0.958544426513,0.0,0.0,0.0,19.970282435,3.1
148,0.487894235183,0.0,0.0,0.0,20.0996116913,3.1
149,0.968869660856,0.0,0.0,0.0,19.9960174397,3.0
150,0.48307466824,0.0,0.0,0.0,20.1154618002,2.9
