,0,HEAT,COOL,LIGHTING,DISCOMFORT,T_m,T_a
101,2013-01-05 05:00:00,16.1305375092,0.0,0.0,0.0,5.77345744278,6.3
102,2013-01-05 06:00:00,16.1187252662,0.0,0.0,0.0,5.78593374025,6.4
103,2013-01-05 07:00:00,16.1075975056,0.0,0.40131,1.0,5.79625120453,6.2
104,2013-01-05 08:00:00,16.0961744169,0.0,0.0,1.0,5.80832439487,6.2
105,2013-01-05 09:00:00,16.0693196197,0.0,0.0,1.0,5.84395874612,7.0
106,2013-01-05 10:00:00,16.0268497227,0.0,0.0,1.0,5.8904886242,7.4
107,2013-01-05 11:00:00,15.9764685671,0.0,0.0,1.0,5.9431236126,7.4
108,2013-01-05 12:00:00,15.9249857448,0.0,0.0,1.0,5.99392327731,7.4
109,2013-01-05 13:00:00,15.8818649929,0.0,0.0,1.0,6.03249094656,7.1
110,2013-01-05 14:00:00,15.8531104863,0.0,0.0,1.0,6.05544156088,6.8
111,2013-01-05 15:00:00,15.8362184665,0.0,0.40131,1.0,6.06873507088,6.5
112,2013-01-05 16:00:00,15.8262026004,0.0,0.40131,1.0,6.0767990226,6.3
113,2013-01-05 17:00:00,15.8226206894,0.0,0.40131,1.0,6.07772279187,6.1
114,2013-01-05 18:00:00,15.8217895659,0.0,0.40131,1.0,6.07849957342,6.1
115,2013-01-05 19:00:00,15.8224798557,0.0,0.0,0.0,6.07693641699,6.0
116,2013-01-05 20:00:00,15.8252711959,0.0,0.0,0.0,6.07341309468,5.9
117,2013-01-05 21:00:00,15.8299982454,0.0,0.0,0.0,6.06796863913,5.8
118,2013-01-05 22:00:00,15.8366224583,0.0,0.0,0.0,6.06064130574,5.7
119,2013-01-05 23:00:00,15.8513444924,0.0,0.0,0.0,6.04151212361,5.1
120,2013-01-06 00:00:00,15.8802164994,0.0,0.0,0.0,6.00683351632,4.3
121,2013-01-06 01:00:00,15.9169578004,0.0,0.0,0.0,5.96886287586,4.1
122,2013-01-06 02:00:00,15.9519593118,0.0,0.0,0.0,5.93563092788,4.3
123,2013-01-06 03:00:00,15.9785381933,0.0,0.0,0.0,5.91301718982,4.8
124,2013-01-06 04:00:00,15.9996220955,0.0,0.0,0.0,5.89284505043,4.9
125,2013-01-06 05:00:00,16.0170471754,0.0,0.0,0.0,5.87705718322,5.1
126,2013-01-06 06:00:00,16.0326380594,0.0,0.0,0.0,5.86158369869,5.1
127,2013-01-06 07:00:00,16.05031415,0.0,0.40131,1.0,5.84260699526,5.1
128,2013-01-06 08:00:00,16.0732004188,0.0,0.40131,1.0,5.81741074763,5.0
129,2013-01-06 09:00:00,16.0979239816,0.0,0.0,1.0,5.79296793654,5.0
130,2013-01-06 10:00:00,16.1219082425,0.0,0.0,1.0,5.76925603217,5.0
131,2013-01-06 11:00:00,16.1432048333,0.0,0.0,1.0,5.74940670534,5.2
132,2013-01-06 12:00:00,16.1626196635,0.0,0.0,1.0,5.73024950253,5.2
133,2013-01-06 13:00:00,16.1879244416,0.0,0.0,1.0,5.7012996227,4.9
134,2013-01-06 14:00:00,16.2174848852,0.0,0.0,1.0,5.67135803262,4.7
135,2013-01-06 15:00:00,16.2487407799,0.0,0.40131,1.0,5.63932150499,4.6
136,2013-01-06 16:00:00,16.2812399967,0.0,0.40131,1.0,5.60656840533,4.7
137,2013-01-06 17:00:00,16.3161061026,0.0,0.40131,1.0,5.57047251077,4.7
138,2013-01-06 18:00:00,16.3617157474,0.0,0.40131,1.0,5.51919876431,4.1
139,2013-01-06 19:00:00,16.4010037706,0.0,0.0,0.0,5.48695577426,3.9
140,2013-01-06 20:00:00,16.4340921562,0.0,0.0,0.0,5.45336354367,3.8
141,2013-01-06 21:00:00,16.4710083223,0.0,0.0,0.0,5.41446635409,3.5
142,2013-01-06 22:00:00,16.5131632581,0.0,0.0,0.0,5.37036984277,3.2
143,2013-01-06 23:00:00,16.5679387672,0.0,0.0,0.0,5.30922978604,2.3
144,2013-01-07 00:00:00,16.6220775516,0.0,0.0,0.0,5.25926367143,2.8
145,2013-01-07 01:00:00,16.6639341225,0.0,0.0,0.0,5.22224028592,3.4
146,2013-01-07 02:00:00,16.7029909463,0.0,0.0,0.0,5.18197155866,3.2
147,2013-01-07 03:00:00,16.7440049329,0.0,0.0,0.0,5.1405134068,3.1
148,2013-01-07 04:00:00,16.7849458168,0.0,0.0,0.0,5.09988080817,3.1
149,2013-01-07 05:00:00,16.8263191348,0.0,0.0,0.0,5.0580660307,3.0
150,2013-01-07 06:00:00,16.8688598819,0.0,0.0,0.0,5.01509261502,2.9
151,2013-01-07 07:00:00,16.9195126908,0.0,0.40131,1.0,4.95989821458,2.8
152,2013-01-07 08:00:00,16.978745737,0.0,0.0,1.0,4.89830163896,2.9
